id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA
24793	OXC5203	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24794	OXC5204	human stool	Campylobacter coli							
24795	OXC5205	human stool	Campylobacter jejuni	9	25	2	10	22	3	6
24796	OXC5206	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
24797	OXC5207	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
24798	OXC5208	human stool	Campylobacter jejuni	4	7	10	4	74	7	1
24799	OXC5209	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
24800	OXC5211	human stool	Campylobacter jejuni	7	28	4	28	17	34	12
24801	OXC5213	human stool	Campylobacter jejuni	2	4	1	4	19	1	5
24802	OXC5214	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
24803	OXC5215	human stool	Campylobacter jejuni	9	25	2	10	22	3	6
24804	OXC5217	human stool	Campylobacter jejuni							
24805	OXC5218	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
24806	OXC5219	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
24807	OXC5220	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24808	OXC5221	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
24809	OXC5223	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
24810	OXC5224	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
24811	OXC5225	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
24812	OXC5226	human stool	Campylobacter jejuni	8	17	5	2	10	59	6
24813	OXC5227	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
24814	OXC5228	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24815	OXC5229	human stool	Campylobacter jejuni	8	1	6	3	2	1	12
24816	OXC5230	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
24817	OXC5231	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
24818	OXC5235	human stool	Campylobacter jejuni	9	2	4	62	4	5	17
24819	OXC5236	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
24820	OXC5237	human stool	Campylobacter jejuni	7	53	2		11		3
24821	OXC5238	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
24822	OXC5239	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24823	OXC5240	human stool	Campylobacter coli	33	39	30	79	113	43	41
24824	OXC5242	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24825	OXC5243	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
24826	OXC5244	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24827	OXC5246	human stool	Campylobacter jejuni	7		5	2	10		6
24828	OXC5247	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24829	OXC5248	human stool	Campylobacter jejuni	62	4	5	2	2	1	5
24830	OXC5251	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
24831	OXC5253	human stool	Campylobacter coli	33	39	30	82	113	47	17
24832	OXC5254	human stool	Campylobacter coli	33	39	30	82	113	43	17
24833	OXC5255	human stool	Campylobacter jejuni	2	21	5	37	60	1	5
24834	OXC5256	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
24835	OXC5257	human stool	Campylobacter coli	33	38	30	82	104	43	17
24836	OXC5259	human stool	Campylobacter jejuni	76	375	318	409	124	285	31
24837	OXC5260	human stool	Campylobacter jejuni	8	1	5	3	2	1	1
24838	OXC5261	human stool	Campylobacter jejuni	2	21	5	37	60	1	5
24839	OXC5262	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
24840	OXC5263	human stool	Campylobacter jejuni	2	4	2	4	19	3	6
24841	OXC5279	human stool	Campylobacter jejuni	2	71	5	62	11	67	6
24842	OXC5282	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
24843	OXC5285	human stool	Campylobacter jejuni	9	2	4	62	4	133	6
24844	OXC5286	human stool	Campylobacter jejuni	7	28	4	28	17	34	12
24845	OXC5288	human stool	Campylobacter jejuni	7	17	5	10	2	3	6
24846	OXC5298	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24847	OXC5299	human stool	Campylobacter jejuni	7	2	5	299	10	3	6
24848	OXC5301	human stool	Campylobacter coli	33	39	30	82	113	47	17
24849	OXC5302	human stool	Campylobacter jejuni	2	1	1		2	1	5
24850	OXC5303	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
24851	57815	human stool	Campylobacter jejuni	188	313	5	2	89	59	6
24852	57666	human stool	Campylobacter jejuni	6	4	5	2	2	539	5
24853	57813	human stool	Campylobacter jejuni	7	475	5	2	10	3	6
24854	FC11017	chicken	Campylobacter jejuni	37	29	4	28	470	80	23
24855	FC11036	chicken	Campylobacter jejuni	337	39	5	79	13	3	3
24856	FC11060	chicken	Campylobacter jejuni	33	39	52	79	11	3	6
24857	FC11655	chicken	Campylobacter jejuni	8	2	79	536	153	253	147
24858	FC11720	chicken	Campylobacter jejuni	37	476	292	28	10	3	23
24859	FC11732	chicken	Campylobacter jejuni	8	52	4	64	127	540	6
24860	538	human stool	Campylobacter jejuni	7	53	5	15	11	3	3
24861	550	human stool	Campylobacter jejuni	60	30	389	2	89	59	5
24862	553	human stool	Campylobacter jejuni	4	7	10	4	42	51	6
24863	558	human stool	Campylobacter jejuni	7	53	52	10	11	3	3
24864	569	human stool	Campylobacter jejuni	3	1	5	17		11	6
24865	602	human stool	Campylobacter jejuni	181	17	27	10	89	3	6
24866	643	human stool	Campylobacter jejuni	55	2	1	10	22	3	6
24867	644	human stool	Campylobacter jejuni	7	21	2	71	11	37	3
24868	645	human stool	Campylobacter jejuni	24	2	5	2	10	3	6
24869	647	human stool	Campylobacter jejuni	8	2	2	2	10	3	1
24870	659	human stool	Campylobacter jejuni	166	17	27	10	11	3	6
24871	661	human stool	Campylobacter jejuni	7	53	2	15	11	3	6
24872	663	human stool	Campylobacter jejuni	24	2	5	72	22	3	210
24873	671	human stool	Campylobacter jejuni	24	2	5	72	22	3	210
24874	675	human stool	Campylobacter jejuni	7	30	1	2	22	3	6
24875	680	human stool	Campylobacter jejuni	24	2	5	72	22	3	210
24876	686	human stool	Campylobacter jejuni	1	17	1	10	11	3	6
24877	702	human stool	Campylobacter jejuni	9	17	2	10	10	59	5
24878	711	human stool	Campylobacter jejuni	73	2	45	10	10	59	5
24879	714	human stool	Campylobacter jejuni	24	2	5	72	11	3	210
24880	720	human stool	Campylobacter jejuni	24	2	5	72	22	3	210
24881	741	human stool	Campylobacter jejuni	7	25	1	10	11	3	401
24882	742	human stool	Campylobacter jejuni	351	2	5	2	10	3	6
24883	760	human stool	Campylobacter jejuni	7	17	1	10	11	3	6
24884	769	human stool	Campylobacter jejuni	7	2	5	2	10	3	402
24885	777	human stool	Campylobacter jejuni	9	17	27	53	11	541	6
24886	788	human stool	Campylobacter jejuni	73	2	45	10	10	59	5
24887	792	human stool	Campylobacter jejuni	24	2	5	537	22	3	210
24888	794	human stool	Campylobacter jejuni	9	17	10	53	11	3	6
24889	795	human stool	Campylobacter jejuni	4	7	5	4	42	51	1
24890	798	human stool	Campylobacter jejuni	8	2	2	212	309	3	147
24891	799	human stool	Campylobacter jejuni	7	53	2	10	11	253	3
24892	TW16401	human stool	Campylobacter jejuni	10	2	50	62	91	73	45
24893	TW16429	human stool	Campylobacter jejuni	7	2	5	2	11	3	165
24894	TW16475	human stool	Campylobacter jejuni	2	1	2	3	2	3	6
24895	TW16478	human stool	Campylobacter jejuni	1	1	2	2	225	3	6
24896	TW16511	human stool	Campylobacter jejuni	7	17	2	2	22	3	6
24897	TW16607	human stool	Campylobacter jejuni	63	34	27	33	45	5	7
24898	OXC7641	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24899	OXC7642	human stool	Campylobacter jejuni	24	2	2	2	10	3	3
24900	OXC7643	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
24901	OXC7644	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
24902	OXC7645	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24903	OXC7646	human stool	Campylobacter jejuni	14	17	5	2	11	3	6
24904	OXC7647	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24905	OXC7648	human stool	Campylobacter coli	33	39	66	82	104	44	174
24906	OXC7649	human stool	Campylobacter coli	33	38	30	82	189	35	17
24907	OXC7650	human stool	Campylobacter coli	103	39	30	140	189	44	74
24908	OXC7653	human stool	Campylobacter coli	147	90	410	552	695	63	123
24909	OXC7654	human stool	Campylobacter jejuni	7	15	5	62	67	3	6
24910	OXC7655	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
24911	OXC7656	human stool	Campylobacter jejuni	2	1	21	334	2	1	5
24912	OXC7657	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24913	OXC7658	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
24914	OXC7659	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
24915	OXC7660	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24916	OXC7661	human stool	Campylobacter jejuni	7	2	5	10	11	3	6
24917	OXC7662	human stool	Campylobacter jejuni	9	17	5	10	11	3	6
24918	OXC7663	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
24919	OXC7664	human stool	Campylobacter jejuni	8	10	149	2	11	12	6
24920	OXC7665	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
24921	OXC7666	human stool	Campylobacter jejuni	1	3	6	4	3	3	3
24922	OXC7667	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24923	OXC7668	human stool	Campylobacter jejuni	2	21	5	37	60	1	5
