id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA
25124	BID1NV		Campylobacter jejuni	9	30	2	2	89	59	6
25125	585	human stool	Campylobacter jejuni	9	479	5	2	10	3	6
25126	738	human stool	Campylobacter jejuni	9	17	5	10	11	3	405
25127	LK252	chicken	Campylobacter jejuni	7	75	4	48	141	34	1
25128	LK014	chicken	Campylobacter jejuni	9	2	4	48	4	5	6
25129	FRC6	chicken	Campylobacter jejuni	7	17	5	2	409	3	26
25130	FRC7	chicken	Campylobacter jejuni	7	17	5	2	409	3	26
25131	FRC8	chicken	Campylobacter jejuni	7	17	5	2	409	3	26
25132	FRC14	chicken	Campylobacter jejuni	2	1	12	15	677	1	5
25133	FRC17	chicken	Campylobacter jejuni	7	2	2	2	2	3	1
25134	FRC19	chicken	Campylobacter jejuni	7	2	2	2	2	3	1
25135	FRC20	chicken	Campylobacter jejuni	7	2	2	2	2	3	1
25136	FRC24	chicken	Campylobacter jejuni	7	2	2	2	2	3	1
25137	FRC28	chicken	Campylobacter jejuni	7	2	2	2	2	3	1
25138	FRC30	chicken	Campylobacter jejuni	7	2	2	6	2	3	1
25139	FRC31	chicken	Campylobacter jejuni	7	2	2	2	2	3	1
25140	FRC36	chicken	Campylobacter jejuni	7	17	12	2	2	3	6
25141	FRC50	chicken	Campylobacter jejuni	7	61	21	28	11	3	12
25142	FRC64	chicken	Campylobacter jejuni	7	61	21	28	11	3	35
25143	FRC65	chicken	Campylobacter jejuni	48	7	10	4	183	7	1
25144	FRC66	chicken	Campylobacter jejuni	48	7	10	4	183	7	1
25145	FRC67	chicken	Campylobacter jejuni	48	7	10	4	183	7	1
25146	FRC68	chicken	Campylobacter jejuni	48	7	10	4	183	7	1
25147	FRC69	chicken	Campylobacter jejuni	48	7	10	4	183	7	1
25148	FRC70	chicken	Campylobacter jejuni	48	7	10	4	183	7	1
25149	FRC71	chicken	Campylobacter jejuni	48	7	10	4	183	7	1
25150	FRC72	chicken	Campylobacter jejuni	7	1	5	2	2	3	6
25151	FRC74	chicken	Campylobacter jejuni	7	1	5	2	2	3	6
25152	FRC76	chicken	Campylobacter jejuni	7	1	5	2	2	3	6
25153	FRC77	chicken	Campylobacter jejuni	7	1	5	2	2	3	6
25154	FRC78	chicken	Campylobacter jejuni	7	1	5	2	2	3	6
25155	FRC81	chicken	Campylobacter jejuni	8	10	2	2	11	5	6
25156	FRC88	chicken	Campylobacter jejuni	8	17	2	2	11	59	12
25157	FRC96	chicken	Campylobacter jejuni	2	1	12	15	677	1	5
25158	FRC97	chicken	Campylobacter jejuni	2	1	12	15	677	1	5
25159	FRC100	chicken	Campylobacter jejuni	2	1	12	15	677	1	5
25160	B2138b	wild bird	Campylobacter jejuni	237	480	254	340	433	542	290
25161	CSA-VV62	environmental waters	Campylobacter jejuni	64	33	22	4	122	256	16
25162	CSAH1875	human stool	Campylobacter jejuni	64	22	203	516	134	103	1
25163	CSAH750	human stool	Campylobacter jejuni	1	2	42	4	2	24	8
25164	CSAH2821	human stool	Campylobacter jejuni	7	17	5	10	10	3	6
